,漲跌幅,AI,CHATGPT,輝達,台積電,成交股數,成交筆數,大戶與散戶比例,TW_Close,TW_Volume,NASDAQ_Close,NASDAQ_Volume,DOW_Close,DOW_Volume,SP_Close,SP_Volume,外資自營商買賣超股數,投信買賣超股數,自營商買賣超股數,淨值(元)
0,-0.07%,25.285714285714285,53.0,1.0,26.714285714285715,108511,659,164.66009104704096,15810.76953125,2513500,12087.9599609375,3862800000.0,33485.2890625,258680000.0,4105.02001953125,3486690000.0,0.0,0.0,"-30,221",27.36
1,0.55%,25.857142857142858,54.0,1.0,29.142857142857142,54492,196,278.0204081632653,15836.5,2199900,12087.9599609375,3862800000.0,33485.2890625,258680000.0,4105.02001953125,3486690000.0,0.0,0.0,"17,485",27.4
2,0.29%,26.857142857142858,55.42857142857143,1.0,34.714285714285715,26345,872,30.212155963302752,15876.169921875,2220400,12084.3603515625,4334070000.0,33586.51953125,232920000.0,4109.10986328125,3423650000.0,0.0,0.0,"-9,272",27.44
3,-0.44%,26.714285714285715,54.857142857142854,1.0,35.42857142857143,33241,1005,33.07562189054726,15913.8798828125,2744200,12031.8798828125,4676960000.0,33684.7890625,241430000.0,4108.93994140625,3665830000.0,0.0,0.0,"14,011",27.5
4,1.02%,26.571428571428573,54.285714285714285,1.0,36.142857142857146,77936,687,113.44395924308589,15932.9697265625,3138100,11929.33984375,4909770000.0,33646.5,260300000.0,4091.949951171875,3633120000.0,0.0,0.0,"12,000",27.34
5,0.07%,26.428571428571427,53.714285714285715,1.0,36.857142857142854,122637,641,191.3213728549142,15804.759765625,3825100,12166.26953125,4942990000.0,34029.69140625,277230000.0,4146.22021484375,3596590000.0,0.0,0.0,"23,000",27.75
6,0%,26.285714285714285,53.142857142857146,1.0,37.57142857142857,58958,546,107.98168498168498,15929.4296875,3492400,12123.4697265625,4655740000.0,33886.46875,276720000.0,4137.64013671875,3575690000.0,0.0,0.0,"-1,465",27.68
7,0.11%,26.142857142857142,51.42857142857143,1.0,38.714285714285715,30017,896,33.50111607142857,15963.5498046875,3396900,12157.7197265625,4823180000.0,33987.1796875,234530000.0,4151.31982421875,3611180000.0,0.0,0.0,"-2,000",27.79
8,-0.65%,26.285714285714285,50.857142857142854,1.0,38.42857142857143,26243,163,161.0,15869.4404296875,3344600,12153.41015625,4851810000.0,33976.62890625,253570000.0,4154.8701171875,3536640000.0,0.0,0.0,"3,000",27.81
9,-0.44%,26.428571428571427,50.285714285714285,1.0,38.142857142857146,69706,709,98.31593794076164,15770.4697265625,3554800,12157.23046875,4972700000.0,33897.01171875,251490000.0,4154.52001953125,3572560000.0,0.0,0.0,"-1,000",27.65
10,-0.22%,26.571428571428573,49.714285714285715,1.0,37.857142857142854,29809,472,63.154661016949156,15707.51953125,3170900,12059.5595703125,4590530000.0,33786.62109375,307910000.0,4129.7900390625,3772080000.0,0.0,0.0,"1,000",27.42
11,-0.55%,26.714285714285715,49.142857142857146,1.0,37.57142857142857,150545,131,1149.1984732824428,15602.990234375,3512500,12072.4599609375,4868050000.0,33808.9609375,291080000.0,4133.52001953125,3611750000.0,0.0,0.0,"103,843",27.47
12,-0.77%,26.571428571428573,47.285714285714285,1.0,35.0,18531,736,25.17798913043478,15626.8701171875,2474500,12037.2001953125,4854050000.0,33875.3984375,252020000.0,4137.0400390625,3290940000.0,0.0,0.0,"-8,000",27.35
13,-0.63%,26.142857142857142,46.57142857142857,1.0,33.0,45718,42,1088.5238095238096,15370.73046875,3449300,11799.16015625,4806020000.0,33530.828125,297880000.0,4071.6298828125,3978640000.0,0.0,0.0,"1,000",26.85
