日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
1-3,"64,000","5,000","59,000",0,0,0,0,0,0,"-243,937","30,000",0,"30,000","328,819","602,756","-273,937","-184,937"
1-4,0,"20,000","-20,000",0,0,0,0,0,0,"-23,656",0,0,0,"227,000","250,656","-23,656","-43,656"
1-5,175,"9,000","-8,825",0,0,0,0,0,0,"-55,857",0,0,0,"42,236","98,093","-55,857","-64,682"
1-6,0,"10,000","-10,000",0,0,0,0,0,0,"-264,744",0,0,0,"118,848","383,592","-264,744","-274,744"
1-9,"107,265","19,000","88,265",0,0,0,0,0,0,"296,348",0,"30,000","-30,000","422,348","96,000","326,348","384,613"
1-10,"64,000","6,000","58,000",0,0,0,0,0,0,"-82,246",0,0,0,"144,457","226,703","-82,246","-24,246"
1-11,0,"6,000","-6,000",0,0,0,0,0,0,"-150,708","6,000",0,"6,000","116,000","272,708","-156,708","-156,708"
1-12,"5,000","13,000","-8,000",0,0,0,0,0,0,"-52,220","2,000",0,"2,000","145,000","199,220","-54,220","-60,220"
1-13,"55,000","25,000","30,000",0,0,0,0,0,0,"166,964","11,000",0,"11,000","264,027","108,063","155,964","196,964"
1-16,"48,336","18,000","30,336",0,0,0,0,0,0,"-51,000",0,0,0,"166,000","217,000","-51,000","-20,664"
1-17,"89,000","4,000","85,000",0,0,0,0,0,0,"-33,820",0,0,0,"184,000","217,820","-33,820","51,180"
1-30,"408,000","37,000","371,000",0,0,0,0,0,0,"-249,779",0,0,0,"119,221","369,000","-249,779","121,221"
1-31,"26,164","82,000","-55,836",0,0,0,0,0,0,"-161,071",0,0,0,"389,000","550,071","-161,071","-216,907"
2-1,"96,000","7,000","89,000",0,0,0,0,0,0,"-40,542","6,000",0,"6,000","113,072","159,614","-46,542","48,458"
2-2,"171,000","17,000","154,000",0,0,0,0,0,0,"329,014",0,0,0,"338,014","9,000","329,014","483,014"
2-3,"184,000","3,000","181,000",0,0,0,0,0,0,"-192,447",0,0,0,"192,000","384,447","-192,447","-11,447"
2-6,"3,160","81,000","-77,840",0,0,0,0,0,0,"-593,486",0,0,0,0,"593,486","-593,486","-671,326"
2-7,0,"126,000","-126,000",0,0,0,0,0,0,"-109,563",0,0,0,"65,000","174,563","-109,563","-235,563"
2-8,0,"37,000","-37,000",0,0,0,0,0,0,"342,057",0,0,0,"346,656","4,599","342,057","305,057"
2-9,"17,000","61,000","-44,000",0,0,0,0,0,0,"105,277","2,000",0,"2,000","109,000","5,723","103,277","61,277"
2-10,"36,000","13,000","23,000",0,0,0,0,0,0,"35,626",0,0,0,"61,000","25,374","35,626","58,626"
2-13,"4,261","41,000","-36,739",0,0,0,0,0,0,"-138,222",0,0,0,"173,561","311,783","-138,222","-174,961"
2-14,0,"44,000","-44,000",0,0,0,0,0,0,"398,234",0,0,0,"402,125","3,891","398,234","354,234"
2-15,"13,081","127,000","-113,919",0,0,0,0,0,0,"-536,315",0,0,0,"91,000","627,315","-536,315","-650,234"
2-16,375,"120,000","-119,625",0,0,0,0,0,0,"-71,235",0,0,0,"207,233","278,468","-71,235","-190,860"
2-17,"10,082","83,000","-72,918",0,0,0,0,0,0,"-206,584",0,0,0,"16,000","222,584","-206,584","-279,502"
2-20,"32,000","96,000","-64,000",0,0,0,0,0,0,"71,659",0,0,0,"173,000","101,341","71,659","7,659"
2-21,"8,000","29,000","-21,000",0,0,0,0,0,0,"-46,303",0,0,0,"52,000","98,303","-46,303","-67,303"
2-22,"8,000","117,000","-109,000",0,0,0,0,0,0,"-224,523",0,0,0,"36,000","260,523","-224,523","-333,523"
2-23,20,"104,000","-103,980",0,0,0,0,0,0,"281,744",0,0,0,"302,072","20,328","281,744","177,764"
2-24,"5,187","3,000","2,187",0,0,0,0,0,0,"345,871","15,000",0,"15,000","544,000","213,129","330,871","348,058"
3-1,"85,098","17,000","68,098",0,0,0,0,0,0,"-462,460",0,0,0,"124,000","586,460","-462,460","-394,362"
3-2,"41,000","147,000","-106,000",0,0,0,0,0,0,"95,315",0,0,0,"673,000","577,685","95,315","-10,685"
3-3,"10,000","15,000","-5,000",0,0,0,0,0,0,"3,988",0,0,0,"452,000","448,012","3,988","-1,012"
3-6,"5,160","65,000","-59,840",0,0,0,0,0,0,"-87,501",0,0,0,"192,921","280,422","-87,501","-147,341"
3-7,0,"68,000","-68,000",0,0,0,0,0,0,"226,008",0,0,0,"415,692","189,684","226,008","158,008"
3-8,"13,465","73,000","-59,535",0,0,0,0,0,0,"-90,711",0,0,0,"285,000","375,711","-90,711","-150,246"
3-9,"53,000",0,"53,000",0,0,0,0,0,0,"-128,229",0,0,0,"128,000","256,229","-128,229","-75,229"
3-10,"15,882","12,000","3,882",0,0,0,0,0,0,"-497,657",0,0,0,"313,000","810,657","-497,657","-493,775"
3-14,"15,000","9,000","6,000",0,0,0,0,0,0,"-245,838",0,0,0,"33,000","278,838","-245,838","-239,838"
3-15,"7,117","27,000","-19,883",0,0,0,0,0,0,"-13,380",0,0,0,"142,667","156,047","-13,380","-33,263"
