"交易
日期",收盤價,漲跌價,漲跌幅,"至
'23/12/29
累計
漲跌幅"
'23/12/29,35.16,0,0%,0%
'23/12/28,35.16,0.04,0.11%,0.11%
'23/12/27,35.12,0.3,0.86%,0.98%
'23/12/26,34.82,0.24,0.69%,1.68%
'23/12/25,34.58,0.13,0.38%,2.06%
'23/12/22,34.45,0.07,0.20%,2.27%
'23/12/21,34.38,-0.24,-0.69%,1.56%
'23/12/20,34.62,0.17,0.49%,2.06%
'23/12/19,34.45,-0.13,-0.38%,1.68%
'23/12/18,34.58,0.04,0.12%,1.80%
'23/12/15,34.54,0.08,0.23%,2.03%
'23/12/14,34.46,0.4,1.17%,3.23%
'23/12/13,34.06,0.06,0.18%,3.41%
'23/12/12,34,0.05,0.15%,3.56%
'23/12/11,33.95,-0.02,-0.06%,3.50%
'23/12/08,33.97,0.21,0.62%,4.15%
'23/12/07,33.76,-0.2,-0.59%,3.53%
'23/12/06,33.96,0.15,0.44%,3.99%
'23/12/05,33.81,-0.22,-0.65%,3.32%
'23/12/04,34.03,-0.04,-0.12%,3.20%
'23/12/01,34.07,0.02,0.06%,3.26%
'23/11/30,34.05,0.09,0.27%,3.53%
'23/11/29,33.96,-0.01,-0.03%,3.50%
'23/11/28,33.97,0.23,0.68%,4.21%
'23/11/27,33.74,-0.2,-0.59%,3.59%
'23/11/24,33.94,0.02,0.06%,3.66%
'23/11/23,33.92,-0.05,-0.15%,3.50%
'23/11/22,33.97,-0.23,-0.67%,2.81%
'23/11/21,34.2,0.43,1.27%,4.12%
'23/11/20,33.77,-0.02,-0.06%,4.05%
'23/11/17,33.79,0.09,0.27%,4.33%
'23/11/16,33.7,-0.08,-0.24%,4.09%
'23/11/15,34.48,0.44,1.29%,5.35%
'23/11/14,34.04,0.13,0.38%,5.75%
'23/11/13,33.91,0.38,1.13%,6.95%
'23/11/10,33.53,-0.14,-0.42%,6.50%
'23/11/09,33.67,0.04,0.12%,6.63%
'23/11/08,33.63,0.15,0.45%,7.11%
'23/11/07,33.48,-0.04,-0.12%,6.98%
'23/11/06,33.52,0.33,0.99%,8.04%
'23/11/03,33.19,0.21,0.64%,8.73%
'23/11/02,32.98,0.75,2.33%,11.30%
'23/11/01,32.23,0.1,0.31%,11.60%
'23/10/31,32.13,-0.2,-0.62%,10.90%
'23/10/30,32.33,-0.06,-0.19%,10.70%
'23/10/27,32.39,0.11,0.34%,11.10%
'23/10/26,32.28,-0.56,-1.71%,9.20%
'23/10/25,32.84,0.08,0.24%,9.46%
'23/10/24,32.76,0.04,0.12%,9.60%
'23/10/23,32.72,-0.34,-1.03%,8.47%
'23/10/20,33.06,-0.04,-0.12%,8.34%
'23/10/19,33.1,0.01,0.03%,8.37%
'23/10/18,33.09,-0.39,-1.16%,7.11%
'23/10/17,33.48,-0.05,-0.15%,6.95%
'23/10/16,33.53,-0.18,-0.53%,6.38%
'23/10/13,33.71,-0.09,-0.27%,6.09%
'23/10/12,33.8,0.19,0.57%,6.69%
'23/10/11,33.61,0.42,1.27%,8.04%
'23/10/06,33.19,0.18,0.55%,8.63%
'23/10/05,33.01,0.46,1.41%,10.20%
'23/10/04,32.55,-0.39,-1.18%,8.86%
'23/10/03,32.94,-0.2,-0.60%,8.21%
'23/10/02,33.14,0.35,1.07%,9.36%
'23/09/28,32.79,0.17,0.52%,9.93%
'23/09/27,32.62,-0.02,-0.06%,9.87%
'23/09/26,32.64,-0.4,-1.21%,8.54%
'23/09/25,33.04,0.23,0.70%,9.30%
'23/09/22,32.81,0.01,0.03%,9.33%
'23/09/21,32.8,-0.46,-1.38%,7.82%
'23/09/20,33.26,-0.2,-0.60%,7.17%
'23/09/19,33.46,-0.1,-0.30%,6.85%
'23/09/18,33.56,-0.3,-0.89%,5.91%
'23/09/15,33.86,0.14,0.42%,6.35%
'23/09/14,33.72,0.44,1.32%,7.75%
'23/09/13,33.28,0.03,0.09%,7.85%
'23/09/12,33.25,0.26,0.79%,8.70%
'23/09/11,32.99,-0.23,-0.69%,7.95%
'23/09/08,33.22,-0.07,-0.21%,7.72%
'23/09/07,33.29,-0.28,-0.83%,6.82%
'23/09/06,33.57,-0.03,-0.09%,6.73%
'23/09/05,33.6,-0.04,-0.12%,6.60%
'23/09/04,33.64,0.19,0.57%,7.20%
'23/09/01,33.45,0,0%,7.20%
'23/08/31,33.45,-0.22,-0.65%,6.50%
'23/08/30,33.67,0.18,0.54%,7.08%
'23/08/29,33.49,0.15,0.45%,7.56%
'23/08/28,33.34,0.13,0.39%,7.98%
'23/08/25,33.21,-0.63,-1.86%,5.97%
