日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/01/03,"825,377","23,196,800",28.01,28.36,27.80,28.28,+0.10,771
112/01/04,"408,608","11,540,900",28.28,28.34,28.18,28.22,-0.06,492
112/01/05,"241,870","6,871,317",28.48,28.52,28.31,28.35,+0.13,457
112/01/06,"621,154","17,722,818",28.35,28.61,28.35,28.56,+0.21,776
112/01/09,"793,190","23,068,424",28.91,29.28,28.91,29.28,+0.72,874
112/01/10,"563,683","16,562,482",29.42,29.47,29.30,29.46,+0.18,604
112/01/11,"488,491","14,381,504",29.60,29.61,29.34,29.41,-0.05,503
112/01/12,"522,568","15,365,137",29.53,29.53,29.30,29.35,-0.06,384
112/01/13,"541,794","16,083,724",29.74,29.88,29.55,29.61,+0.26,601
112/01/16,"793,909","23,671,998",29.73,29.90,29.73,29.80,+0.19,"1,035"
112/01/17,"508,221","15,109,591",29.80,29.80,29.68,29.73,-0.07,567
112/01/30,"1,358,641","41,682,007",30.79,30.81,30.52,30.75,+1.02,"1,404"
112/01/31,"922,670","28,198,116",30.75,30.80,30.37,30.37,-0.38,964
112/02/01,"418,245","12,747,997",30.50,30.55,30.38,30.54,+0.17,564
112/02/02,"693,265","21,362,081",30.75,30.89,30.69,30.86,+0.32,621
112/02/03,"796,628","24,558,184",30.90,30.97,30.70,30.89,+0.03,710
112/02/06,"909,166","27,867,487",30.74,30.74,30.55,30.64,-0.25,"1,070"
112/02/07,"456,981","13,967,543",30.50,30.64,30.50,30.55,-0.09,740
112/02/08,"577,396","17,827,292",30.88,30.94,30.76,30.93,+0.38,569
112/02/09,"251,286","7,752,632",30.83,30.94,30.80,30.91,-0.02,430
112/02/10,"299,125","9,246,428",30.91,30.93,30.82,30.93,+0.02,528
112/02/13,"589,679","18,168,564",30.93,30.93,30.69,30.90,-0.03,541
112/02/14,"657,544","20,438,724",31.00,31.15,31.00,31.09,+0.19,505
112/02/15,"968,492","29,711,010",30.79,30.85,30.56,30.57,-0.52,"1,189"
112/02/16,"707,440","21,829,046",30.64,30.95,30.64,30.91,+0.34,768
112/02/17,"457,222","14,002,193",30.71,30.71,30.55,30.64,-0.27,861
112/02/20,"541,102","16,616,728",30.88,30.88,30.53,30.76,+0.12,595
112/02/21,"248,720","7,631,792",30.76,30.76,30.62,30.71,-0.05,388
112/02/22,"527,425","16,028,129",30.43,30.49,30.28,30.47,-0.24,673
112/02/23,"462,369","14,232,467",30.53,30.92,30.53,30.86,+0.39,488
112/02/24,"790,155","24,336,414",30.95,30.95,30.68,30.68,-0.18,638
112/03/01,"864,815","26,469,561",30.53,30.82,30.28,30.81,+0.13,945
112/03/02,"915,184","28,107,659",30.81,30.82,30.58,30.77,-0.04,559
112/03/03,"670,581","20,702,058",30.85,30.96,30.76,30.80,+0.03,560
112/03/06,"773,983","24,088,286",31.00,31.24,30.98,31.13,+0.33,947
112/03/07,"638,557","19,960,124",31.13,31.38,31.00,31.34,+0.21,745
112/03/08,"655,949","20,417,464",31.20,31.20,31.03,31.17,-0.17,620
112/03/09,"417,244","12,996,982",31.19,31.26,31.08,31.08,-0.09,433
112/03/10,"1,095,145","33,627,896",30.87,30.87,30.63,30.71,-0.37,"1,163"
112/03/13,"594,543","18,211,606",30.55,30.84,30.43,30.81,+0.10,677
112/03/14,"445,389","13,588,546",30.52,30.67,30.42,30.47,-0.34,678
112/03/15,"423,739","12,990,829",30.56,30.76,30.50,30.53,+0.06,444
112/03/16,"969,479","29,393,469",30.42,30.44,30.21,30.30,-0.23,"1,066"
112/03/17,"277,717","8,495,004",30.52,30.65,30.51,30.64,+0.34,563
112/03/20,"559,029","17,092,515",30.65,30.68,30.49,30.55,-0.09,567
112/03/21,"671,354","20,599,562",30.64,30.78,30.63,30.69,+0.14,349
112/03/22,"926,510","28,813,651",30.79,31.17,30.79,31.17,+0.48,551
112/03/23,"597,079","18,664,644",31.16,31.46,31.14,31.40,+0.23,549
112/03/24,"857,019","26,951,883",31.44,31.52,31.35,31.52,+0.12,571
112/03/27,"524,199","16,472,175",31.52,31.52,31.33,31.42,-0.10,747
112/03/28,"449,887","14,027,833",31.40,31.40,31.10,31.15,-0.27,450
112/03/29,"677,346","21,084,251",31.17,31.29,31.06,31.22,+0.07,302
112/03/30,"834,508","26,168,411",31.10,31.45,31.10,31.39,+0.17,426
112/03/31,"619,438","19,552,717",31.41,31.65,31.40,31.46,+0.07,394
112/04/06,"1,027,270","32,129,287",31.46,31.46,31.15,31.29,-0.17,"1,224"
112/04/07,"307,666","9,637,691",31.30,31.50,31.28,31.29,0.00,332
112/04/10,"862,958","27,046,514",31.30,31.49,31.30,31.34,+0.05,597
112/04/11,"409,059","12,860,055",31.48,31.49,31.30,31.40,+0.06,408
112/04/12,"158,095","4,958,703",31.40,31.41,31.32,31.40,0.00,378
112/04/13,"527,745","16,488,752",31.37,31.40,31.16,31.19,-0.21,583
112/04/14,"484,151","15,202,132",31.25,31.51,31.25,31.45,+0.26,425
112/04/17,"638,711","20,008,824",31.35,31.39,31.25,31.38,-0.07,853
112/04/18,"617,652","19,315,270",31.38,31.38,31.17,31.26,-0.12,666
112/04/19,"573,638","17,834,228",31.26,31.26,30.99,31.01,-0.25,707
112/04/20,"537,568","16,656,242",31.17,31.17,30.89,30.98,-0.03,635
112/04/21,"380,586","11,778,550",30.98,31.10,30.85,30.87,-0.11,575
112/04/24,"359,158","11,071,254",30.78,30.89,30.69,30.87,0.00,437
112/04/25,"725,955","22,221,222",31.14,31.14,30.43,30.48,-0.39,"1,176"
112/04/26,"709,260","21,531,171",30.46,30.46,30.29,30.39,-0.09,940
112/04/27,"388,258","11,800,093",30.35,30.51,30.26,30.40,+0.01,717
112/04/28,"465,180","14,261,165",30.58,30.79,30.58,30.72,+0.32,487
112/05/02,"372,892","11,487,278",30.71,30.89,30.70,30.86,+0.14,518
112/05/03,"535,278","16,443,578",30.80,30.80,30.64,30.77,-0.09,470
112/05/04,"570,343","17,520,240",30.68,30.80,30.60,30.79,+0.02,592
112/05/05,"770,454","23,740,332",30.90,30.94,30.71,30.84,+0.05,810
112/05/08,"922,602","28,623,925",30.86,31.10,30.86,31.04,+0.20,"1,110"
112/05/09,"763,605","23,694,442",31.00,31.09,30.90,31.08,+0.04,880
112/05/10,"1,107,877","34,194,142",31.05,31.05,30.76,30.87,-0.21,909
112/05/11,"777,040","23,964,429",30.87,30.96,30.77,30.81,-0.06,428
112/05/12,"233,713","7,166,779",30.80,30.80,30.58,30.71,-0.10,435
112/05/15,"497,665","15,263,731",30.75,30.75,30.58,30.70,-0.01,633
112/05/16,"648,057","20,085,487",30.75,31.10,30.75,31.07,+0.37,718
112/05/17,"1,138,082","35,679,352",31.04,31.48,31.03,31.45,+0.38,827
112/05/18,"1,599,761","50,813,062",31.60,31.81,31.60,31.75,+0.30,844
112/05/19,"966,982","30,813,486",31.85,31.91,31.81,31.90,+0.15,681
112/05/22,"844,294","26,895,444",31.90,31.93,31.78,31.87,-0.03,650
112/05/23,"466,768","14,870,298",31.87,31.96,31.75,31.86,-0.01,506
112/05/24,"482,414","15,283,797",31.82,31.82,31.64,31.75,-0.11,455
112/05/25,"634,909","20,309,823",31.82,32.09,31.82,32.01,+0.26,630
112/05/26,"2,376,543","77,265,400",32.07,32.62,32.07,32.59,+0.58,"1,603"
112/05/29,"1,023,507","33,645,714",32.70,32.99,32.70,32.85,+0.26,"1,074"
112/05/30,"667,845","21,965,444",32.85,32.95,32.80,32.92,+0.07,753
112/05/31,"1,036,169","33,932,670",32.86,32.88,32.60,32.76,-0.16,990
112/06/01,"586,718","19,112,007",32.74,32.74,32.51,32.58,-0.18,813
112/06/02,"1,283,847","42,303,315",32.72,33.06,32.72,33.00,+0.42,"1,021"
112/06/05,"872,887","28,819,797",33.03,33.08,32.94,32.95,-0.05,"1,085"
112/06/06,"1,394,017","46,079,944",32.95,33.18,32.95,33.09,+0.14,995
112/06/07,"1,689,954","56,354,140",33.14,33.41,33.14,33.41,+0.32,"1,095"
112/06/08,"1,575,595","52,251,784",33.33,33.38,33.01,33.12,-0.29,"1,278"
112/06/09,"1,202,510","40,113,616",33.22,33.41,33.22,33.39,+0.27,752
112/06/12,"1,388,055","46,651,823",33.41,33.71,33.41,33.59,+0.20,"1,074"
112/06/13,"2,488,340","84,849,654",33.88,34.21,33.88,34.13,+0.54,"1,419"
112/06/14,"1,388,598","47,354,849",34.03,34.15,33.95,34.14,+0.01,829
112/06/15,"1,511,176","51,898,688",34.20,34.43,34.20,34.38,+0.24,"1,087"
112/06/16,"1,838,228","63,067,844",34.38,34.40,34.18,34.31,-0.07,"1,330"
112/06/19,"1,191,651","40,809,154",34.15,34.31,34.10,34.29,-0.02,900
112/06/20,"1,204,428","41,136,040",34.23,34.24,34.03,34.15,-0.14,"1,042"
112/06/21,"2,032,627","69,285,030",33.95,34.25,33.94,34.17,+0.02,837
112/06/26,"1,772,949","60,292,892",34.09,34.09,33.87,34.00,-0.17,"1,495"
112/06/27,"1,475,390","49,806,989",33.79,33.95,33.70,33.72,-0.28,"1,209"
112/06/28,"1,422,054","47,992,650",33.74,33.84,33.69,33.80,+0.08,703
112/06/29,"1,957,227","66,276,000",33.81,34.10,33.71,33.77,-0.03,808
112/06/30,"1,511,114","50,945,007",33.69,33.81,33.61,33.81,+0.04,728
112/07/03,"2,111,224","72,303,758",34.04,34.32,34.02,34.30,+0.49,"1,102"
